"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Junior","(1994)","4.7","Comedy","Romance","Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella,Pamela Reed","
        
            As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.
    ","(67,584)","Ivan Reitman","
Nominated for 1 Oscar. Another 4 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $108,431,355
            ",NA,"
                            109 min
                        "
"Boxing Helena","(1993)","4.7","Drama","Mystery","Julian Sands,Sherilyn Fenn,Bill Paxton,Kurtwood Smith,Art Garfunkel","
        
            A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.
    ","(11,939)","Jennifer Lynch","
1 win & 2 nominations.
            ","
                    $787,724, 06 Sep 1993
            ",NA,NA,"
                            107 min
                        "
"Look Who's Talking Too","(1990)","4.7","Comedy","Family","John Travolta,Kirstie Alley,Olympia Dukakis,Elias Koteas,Twink Caplan","
        
            This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.
    ","(45,952)","Amy Heckerling","
3 nominations.
            ",NA,NA,NA,"
                            81 min
                        "
"The Return of Swamp Thing","(1989)","4.7","Action","Adventure","Louis Jourdan,Heather Locklear,Sarah Douglas,Dick Durock,Joey Sagal","
        
            In this tongue-in-cheek sequel, the benevolent bog creature falls for the vegetarian, plant-loving daughter of the evil scientist who created him.
    ","(4,841)","Jim Wynorski","
1 win.
            ","
                    $4,000,000 (estimated)
            ",NA,NA,"
                            89 min
                        "
"Deadtime Stories","(1986)","4.7","Comedy","Horror","Scott Valentine,Nicole Picard,Matt Mitler,Cathryn de Prume,Melissa Leo","
        
            A babysitting uncle tells his nephew three horror stories about killer witches, Little Red Riding Hood and a werewolf, and ""Goldi Lox"" and the three bears.
    ","(2,062)","Jeffrey Delman",NA,NA,NA,NA,"
                            93 min
                        "
"Howard: A New Breed of Hero","(1986)","4.7","Action","Adventure","Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale,Chip Zien","
        
            A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.
    ","(45,707)","Willard Huyck","
5 wins & 4 nominations.
            ","
                    $35,000,000 (estimated)
            ","
                    $5,070,136, 03 Aug 1986
            ","
                    $37,962,774
            ","
                            110 min
                        "
"Two of a Kind","(1983)","4.7","Comedy","Fantasy","John Travolta,Olivia Newton-John,Charles Durning,Oliver Reed,Beatrice Straight","
        
            When God decides to destroy Earth, four angels aim to redeem mankind through a young man and woman with their own troubles.
    ","(4,143)","John Herzfeld","
6 nominations.
            ","
                    $14,000,000 (estimated)
            ","
                    $3,344,942, 18 Dec 1983
            ",NA,"
                            88 min
                        "
"Staying Alive","(1983)","4.7","Drama","Music","John Travolta,Cynthia Rhodes,Finola Hughes,Steve Inwood,Julie Bovasso","
        
            Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.
    ","(15,553)","Sylvester Stallone","
6 nominations.
            ","
                    $22,000,000 (estimated)
            ","
                    $127,092,670
            ",NA,"
                            93 min
                        "
"Screwballs","(1983)","4.7","Comedy",NA,"Peter Keleghan,Kent Deuters,Linda Speciale,Alan Deveau,Linda Shayne","
        
            Frolicking youth comedy about zany high school students set in the 1960s.
    ","(3,188)","Rafal Zielinski",NA,"
                    $800,000 (estimated)
            ",NA,NA,"
                            82 min
                        "
"Class Reunion","(1982)","4.7","Comedy","Horror","Gerrit Graham,Michael Lerner,Fred McCarren,Miriam Flynn,Stephen Furst","
        
            It's been 10 years since Lizzie Borden High School's class of '72 graduated, and the preppies, the hippies and the in-crowd has returned to reminisce over good times past. But classmate Walter Baylor has returned too with a vengeance.
    ","(2,153)","Michael Miller",NA,"
                    $3,086,525, 31 Oct 1982
            ",NA,NA,"
                            84 min
                        "
"Final Exam","(1981)","4.7","Horror","Thriller","Cecile Bagdadi,Joel S. Rice,Ralph Brown,DeAnna Robbins,Sherry Willis-Burch","
        
            A psycho killer shows up on college campus to slash up pretty co-eds and dumb jocks.
    ","(3,808)","Jimmy Huston",NA,"
                    $374,000 (estimated)
            ",NA,NA,"
                            89 min
                        "
"The Boogey Man","(1980)","4.7","Horror",NA,"Suzanna Love,Ron James,John Carradine,Nicholas Love,Raymond Boyden","
        
            Through the reflection in the mirror, a girl witnesses her mother's boyfriend's murder.
    ","(4,257)","Ulli Lommel",NA,"
                    $300,000 (estimated)
            ",NA,NA,"
                            82 min
                        "
"Attack of the Killer Tomatoes!","(1978)","4.7","Adventure","Comedy","David Miller,George Wilson,Sharon Taylor,J. Stephen Peace,Ernie Meyers","
        
            A group of scientists band together to save the world from mutated killer tomatoes.
    ","(13,377)","John De Bello","
1 nomination.
            ","
                    $90,000 (estimated)
            ",NA,NA,"
                            83 min
                        "
"Beyond the Poseidon Adventure","(1979)","4.7","Action","Adventure","Michael Caine,Sally Field,Telly Savalas,Peter Boyle,Jack Warden","
        
            An extension of the previous film, wherein a cache of adventurers return to the overturned ship to seek several fortunes.
    ","(5,234)","Irwin Allen","
1 nomination.
            ","
                    $10,000,000 (estimated)
            ",NA,NA,"
                            114 min
                        "
"The Devil Within Her","(1974)","4.7","Horror",NA,"Juliet Mills,Gabriele Lavia,Richard Johnson,Nino Segurini,Elizabeth Turner","
        
            Juliet Mills plays a young pregnant woman in San Francisco who is going to have the devil's baby during her strange possession. Richard Johnson shows up to help her... but what does he really want?
    ","(2,200)","Ovidio G. Assonitis",NA,"
                    $350,000 (estimated)
            ",NA,NA,"
                            108 min
                        "
"Paranormal Activity: The Ghost Dimension","(2015)","4.6","Horror","Mystery","Chris J. Murray,Brit Shaw,Ivy George,Dan Gill,Olivia Taylor Dudley","
        
            Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.
    ","(26,949)","Gregory Plotkin","
1 win & 4 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $8,070,493, 23 Oct 2015
            ","
                    $78,099,553
            ","
                            88 min
                        "
"Paranormal Activity 4","(2012)","4.6","Horror","Mystery","Katie Featherston,Kathryn Newton,Matt Shively,Aiden Lovekamp,Brady Allen","
        
            It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.
    ","(64,924)","Henry Joost","
2 wins.
            ","
                    $5,000,000 (estimated)
            ","
                    $29,003,866, 21 Oct 2012
            ","
                    $142,838,957
            ","
                            88 min
                        "
"Yogi Bear","(2010)","4.6","Animation","Adventure","Dan Aykroyd,Justin Timberlake,Anna Faris,Tom Cavanagh,T.J. Miller","
        
            A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo and Ranger Smith.
    ","(21,400)","Eric Brevig","
2 wins & 2 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $16,411,322, 19 Dec 2010
            ","
                    $201,584,141
            ","
                            81 min
                        "
